"screen_name","created_at","tweet_id","text","extended_tweet","in_reply_to_screen_name","in_reply_to_status_id","retweet_count","favorite_count","truncated","language","in_reply_to_user_id"
"PerkinElmer","2020-05-06 21:00:01","1258139477438017537","Limited time only- 0% financing for up to 36 months. Whatever your budget and when your lab needs it.

Restrictions… https://t.co/JWuKABP48l","Limited time only- 0% financing for up to 36 months. Whatever your budget and when your lab needs it.

Restrictions… https://t.co/JWuKABP48l",,,"0","1",,"en",
"Verizon","2020-05-06 21:00:02","1258139481611341827","For #TeacherAppreciationWeek, we celebrate #VerizonInnovativeLearning teacher, Matt Heine. He's using online tools… https://t.co/b3hWhsQZvB","For #TeacherAppreciationWeek, we celebrate #VerizonInnovativeLearning teacher, Matt Heine. He's using online tools… https://t.co/b3hWhsQZvB",,,"2","14",,"en",
"LiveNation","2020-05-06 21:00:03","1258139488250970117","Grab a seat and get ready to rock with @davematthewsbnd tonight 🎸
ℹ️ 5pm PT/8pm ET 
🌐 https://t.co/vKIsMdPL6O… https://t.co/10zHnb1u49","Grab a seat and get ready to rock with @davematthewsbnd tonight 🎸
ℹ️ 5pm PT/8pm ET 
🌐 https://t.co/vKIsMdPL6O… https://t.co/10zHnb1u49",,,"15","27",,"en",
"CDWCorp","2020-05-06 21:00:07","1258139502595506179","Hackers want to take advantage of government employees working from home. Here's how to thwart them.… https://t.co/j0PanKfhcd","Hackers want to take advantage of government employees working from home. Here's how to thwart them.… https://t.co/j0PanKfhcd",,,"2","2",,"en",
"CBOE","2020-05-06 21:00:17","1258139547541610498","In mid-March, historical and implied volatility measures reached their highest levels since the fall of ’08 but… https://t.co/xbzH00Ni8B","In mid-March, historical and implied volatility measures reached their highest levels since the fall of ’08 but… https://t.co/xbzH00Ni8B",,,"2","3",,"en",
"Phillips66Co","2020-05-06 21:00:23","1258139572472602630","Phillips 66 announces quarterly dividend: https://t.co/YMy62zVjOf https://t.co/AdqLpKOU9F","Phillips 66 announces quarterly dividend: https://t.co/YMy62zVjOf https://t.co/AdqLpKOU9F",,,"1","5",,"en",
"SPGlobal","2020-05-06 21:00:24","1258139573483458563","From @SPGMarketIntel: From hygiene to aid, #coronavirus #COVID19 strengthens case for central bank digital money:… https://t.co/K1WF6dneXR","From @SPGMarketIntel: From hygiene to aid, #coronavirus #COVID19 strengthens case for central bank digital money:… https://t.co/K1WF6dneXR",,,"0","0",,"en",
"McKesson","2020-05-06 21:00:32","1258139608493277184","Day in and day out, #TeamMcKesson is here to help. For over 185 years, we’ve seen healthcare through some trying ti… https://t.co/xGz2aya4LZ","Day in and day out, #TeamMcKesson is here to help. For over 185 years, we’ve seen healthcare through some trying ti… https://t.co/xGz2aya4LZ",,,"4","11",,"en",
"WhirlpoolCorp","2020-05-06 21:00:42","1258139651598139402","Lisa is a passionate and caring leader who co-manages our Brakes Department in Fall River, MA, while juggling homes… https://t.co/3j0xpUyfrB","Lisa is a passionate and caring leader who co-manages our Brakes Department in Fall River, MA, while juggling homes… https://t.co/3j0xpUyfrB",,,"1","4",,"en",
"DaVita","2020-05-06 21:01:08","1258139758481616897","Kidney care begins with Kidney Smart®. Due to current COVID-19 precautions, #education continues through virtual in… https://t.co/VfgjTi0YbX","Kidney care begins with Kidney Smart®. Due to current COVID-19 precautions, #education continues through virtual in… https://t.co/VfgjTi0YbX",,,"0","3",,"en",
